"titre","status","ads_d_appartenance","lien_ticket_jira","s__v__rit___dp_roc","bloc","version_corrective_111","sprint_de_correction_1","description_du_bug","version_de_roc"
"[MOE][Contrat] Demande de modification du NPJA ko","En cours de résolution et de qualification","DP ROC","ROC-3486","Bloquant","Contrat","","Sprint V9.5","En tant que REF 

8595_utilisateur

Je vais sur le bloc Contrat, Contrat actif. Je clique sur un contrat et clique sur ""Demande de modification du NPJA"".

Je renseigne le motif et l'adresse email de l'autorité de rattachement [adr2.aae@getnada.com|mailto:adr2.aae@getnada.com] puis je clique sur Valider

Une erreur s'affiche :

!image-2026-03-18-14-33-24-573.png!

!image-2026-03-18-14-34-41-416.png!

 ","V9.4.0"
"[CRON] PB sur compte rendu CTO PROD","En cours de résolution et de qualification","DP ROC","ROC-3483","Majeur","Flux","","Sprint V9.5","Un flux CTO a été déposé sur le point de montage en PROD.

Le fichier a bien été traité. 

Il y a bien les 2 fichiers de compte rendu :
 * 20260317_DR_ROC_ROx_F.csv
 * rapport_importROx_CTO_2026-03-17.xlsx

Néanmoins le rapport au format Excel est vide et il est impossible de l'ouvrir.

De plus, ce fichier n'a pas été reçu sur la messagerie technique.","V8.3.6"
"[MOE][Déclaration/Modification] Demande d'ouverture pour RO2 KO","En cours de résolution et de qualification","DP ROC","ROC-3475","Bloquant","Comptes","","Sprint V9.5","Je vais sur le site Internet roc, et je clique sur Création Compte puis demande d'ouverture de compte pour la réserve de disponibilité RO2. J'arrive sur le formulaire front-np.integration.roc.fr.capgemini.com/reserviste/ro2/creation-compte

Je saisie les informations et clique sur Valider, et là j'ai un message d'erreur suivant : 

{""type"":""https://tools.ietf.org/html/rfc2616#section-10"",""title"":""An error occurred"",""status"":400,""detail"":""ro2.demande_compte.erreur.conflit"",""class"":""App\\\\Exception\\\\WSException"",""trace"":[\\{""namespace"":"""",""short_class"":"""",""class"":"""",""type"":"""",""function"":"""",""file"":""/var/www/html/roc-back/src/Exception/WSException.php"",""line"":151,""args"":[]},\\{""namespace"":""App\\\\Exception"",""short_class"":""WSException"",""class"":""App\\\\Exception\\\\WSException"",""type"":""::"",""function"":""erreur"",""file"":""/var/www/html/roc-back/src/Service/Ro2Service.php"",""line"":157,""args"":[]},\\{""namespace"":""App\\\\Service"",""short_class"":""Ro2Service"",""class"":""App\\\\Service\\\\Ro2Service"",""type"":""->"",""function"":""demandeCompteRo2"",""file"":""/var/www/html/roc-back/src/Controller/WSUtilisateurController.php"",""line"":1329,""args"":[]},\\{""namespace"":""App\\\\Controller"",""short_class"":""WSUtilisateurController"",""class"":""App\\\\Controller\\\\WSUtilisateurController"",""type"":""->"",""function"":""wsPostUtilisateurs"",""file"":""/var/www/html/roc-back/vendor/symfony/http-kernel/HttpKernel.php"",""line"":181,""args"":[]},\\{""namespace"":""Symfony\\\\Component\\\\HttpKernel"",""short_class"":""HttpKernel"",""class"":""Symfony\\\\Component\\\\HttpKernel\\\\HttpKernel"",""type"":""->"",""function"":""handleRaw"",""file"":""/var/www/html/roc-back/vendor/symfony/http-kernel/HttpKernel.php"",""line"":76,""args"":[]},\\{""namespace"":""Symfony\\\\Component\\\\HttpKernel"",""short_class"":""HttpKernel"",""class"":""Symfony\\\\Component\\\\HttpKernel\\\\HttpKernel"",""type"":""->"",""function"":""handle"",""file"":""/var/www/html/roc-back/vendor/symfony/http-kernel/Kernel.php"",""line"":208,""args"":[]},\\{""namespace"":""Symfony\\\\Component\\\\HttpKernel"",""short_class"":""Kernel"",""class"":""Symfony\\\\Component\\\\HttpKernel\\\\Kernel"",""type"":""->"",""function"":""handle"",""file"":""/var/www/html/roc-back/vendor/symfony/runtime/Runner/Symfony/HttpKernelRunner.php"",""line"":35,""args"":[]},\\{""namespace"":""Symfony\\\\Component\\\\Runtime\\\\Runner\\\\Symfony"",""short_class"":""HttpKernelRunner"",""class"":""Symfony\\\\Component\\\\Runtime\\\\Runner\\\\Symfony\\\\HttpKernelRunner"",""type"":""->"",""function"":""run"",""file"":""/var/www/html/roc-back/vendor/autoload_runtime.php"",""line"":29,""args"":[]},\\{""namespace"":"""",""short_class"":"""",""class"":"""",""type"":"""",""function"":""require_once"",""file"":""/var/www/html/roc-back/public/index.php"",""line"":8,""args"":[[""string"",""/var/www/html/roc-back/vendor/autoload_runtime.php""]]}]}

!image-2026-03-17-11-16-38-643.png!

 

!image-2026-03-17-11-17-11-319.png!

 

!image-2026-03-17-11-18-14-550.png!","V9.4.0"
"[MOE][Volontaire] impossible de se connecter avec un candidat sur MDC","En cours de résolution et de qualification","DP ROC","ROC-3473","Bloquant","Volontariat","V9.5.0","Sprint V9.5","Titre : [MOE][Volontaire] impossible de se connecter avec un candidat sur MDC

Configuration : V9.5.0  Intégration

Identifiant : candidat - 264032_candidat.roc@getnada.com et d'autres candidat volontaire

URL :   [https://mdc.integration.roc.fr.capgemini.com/auth/realms/HELISS/login-actions/registration?execution=b0ce5cc9-1bd6-4143-a46b-f8bb6f555a91&client_id=int-roc-internet&tab_id=ausmFUCoBEY]

 

Descriptif :

Sur MDC , impossible de s'enregistrer ou de se connecter avec un candidat/ volontaire.

Résultat attendu :

connexion réussi

Résultat obtenu :

connexion impossible

 

 

!image-2026-03-17-10-36-18-826.png!

 

 

!image-2026-03-17-10-35-58-480.png!

 

 

!image-2026-03-17-10-34-58-841.png!

 

!image-2026-03-17-10-34-37-012.png!","V9.5.0"
"[MOE][ENGAGEMENT]  une erreur est survenue sur le processus d'engagement","En attente de prise en compte dans l'usine logicielle","DP ROC","ROC-3464","Mineur","Volontariat","","","Titre : [[MOE][ENGAGEMENT]  une erreur est survenue sur le processus d'engagement

Configuration : V9.5.0

Identifiant : Volontaire  199434_candidat.roc@getnada.com 

 

URL :   [https://front-np.integration.roc.fr.capgemini.com/candidat/processus-candidature]

 

Descriptif :

Lorsque je me connecte sur un volontaire, je clique sur engagement avec redirection sur le processus d'engagement.

sans erreur sur la page

Résultat obtenu :

une erreur est survenue

 

!image-2026-03-16-16-23-08-159.png!","V9.5.0"
"[MOE][Volontaire] erreur 500 sur la création de volontaire","En attente de prise en compte dans l'usine logicielle","DP ROC","ROC-3462","Bloquant","Volontariat","","","Titre : [MOE][Volontaire] erreur 500 sur la création de volontaire

Configuration : V9.4.1

Identifiant : volontaire

URL :   [https://front-dr.integration.roc.fr.capgemini.com/interne/gestion-engagement/creer-poste-mobilite-interne?temporalite=1]

 

Descriptif :

Lorsque je souhaite faire la création d'un volontaire

Résultat attendu :

Création du volontaire continu

Résultat obtenu :

erreur 500

 

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/f147ea]

 

!image-2026-03-16-15-37-28-390.png!","V9.4.1"
"[MOE][Paramètrage] pas d'export de tous les référentiels","En attente de prise en compte dans l'usine logicielle","DP ROC","ROC-3456","Mineur","Paramétrage","","","Titre : [MOE][Paramètrage] pas d'export de tous les référentiels

 

Configuration : V9.5.0  Integration

 

Identifiant :  AF

 

URL :   [https://front-dr.integration.roc.fr.capgemini.com/interne/admin/qualite]

 

Descriptif :

Dans le bloc ""Espace qualité"", sur les extractions, quand on clique sur export de tous les référentiels, un dossier compressé est téléchargé mais rien dedans.

Résultat attendu :

export référentiel avec les données.

Résultat obtenu :

pas d'export référentiels","V9.5.0"
"[MOE][Gestion][Mes droits] Tranferts compte référent_Validation création compte de transfert KO","En cours de résolution et de qualification","DP ROC","ROC-3451","Bloquant","Comptes","","Sprint V9.5","En tant que REF je vais dans menu Mon compte / Mes droits et je clique sur ""Transférer mon compte, mes droits et mes fonctions"", je sélectionne un email non connu dans Roc.

Suite au transfert l'email saisie reçoit un lien de création de compte, je saisie les informations et clique sur valider

A ce moment je suis déconnectée, la charte utilisateur aurait dû s'afficher

 

Jdd : [trans.compte.ref@free.fr|https://mailpit.integration.roc.fr.capgemini.com/search?q=trans.compte.ref%40free.fr]","V9.4.0"
"[MOE][Contrat] Sortie processus_Absent dans Suivi candidature suite Réactivation","En cours de résolution et de qualification","DP ROC","ROC-3450","Bloquant","Candidature","","Sprint V9.5","En tant qu'AF je vais dans le menu Contrat/Mobilité puis Sortie de processus, cliquer sur une candidature puis sur réactivé candidature.

Si je reviens sur le tableau des candidatures, je ne trouve pas la candidature réactivée

jdd : candidat : [232757_candidat.roc@getnada.com|https://mailpit.integration.roc.fr.capgemini.com/search?q=232757_candidat.roc%40getnada.com]","V9.4.0"
"[MOE][Contrat] Sortie processus_Réactiver une candidature_Connexion candidat KO","En cours de résolution et de qualification","DP ROC","ROC-3448","Bloquant","Comptes","","Sprint V9.5","En tant qu'AF

Dans le menu Contrat/Mobilité puis Sortie de processus, cliquer sur une candidature puis sur réactivé candidature.

Le candidat reçoi bien le mail de reprise du processus d'engagement mais celui-ci ne peut pas se connecter à son compte

jdd : candidat : 

[232757_candidat.roc@getnada.com|https://mailpit.integration.roc.fr.capgemini.com/search?q=232757_candidat.roc%40getnada.com]","V9.4.0"
"[MOE][Gestion][Mes droits] Dans liste des droits actuels  l'affiliation créé n'apparait pas","En cours de résolution et de qualification","DP ROC","ROC-3446","Majeur","Droits","V9.4.1","Sprint V9.5","Dans un premier temps en tant qu'AF j'ai créé une affiliation sur l'utilisateur REF [16507_utilisateur.roc@getnada.com.|mailto:16507_utilisateur.roc@getnada.com.] L'utilisateur affilié est le 5135_utilisateur.

Quand je me connecte avec ce dernier et que je vais dans le menu Gestion / Mes droits, je dois retrouver dans la liste des droits actuels sur mon compte une ligne affilié sur... qui fait référence à la nouvelle affiliation qui a été attribuée, or elle n'apparait pas","V9.4.0"
"[MOE][Alertes]Etape 2_Création alerte immédiate Btn Suivant KO([ErreurWS] Erreur Serveur sur webservice) sans saisie ","En cours de résolution et de qualification","DP ROC","ROC-3443","Bloquant","Alertes","V9.4.1","Sprint V9.5","En tant qu'AF si je créer une alerte immediate (bloc Alerte), et qu'à l'étape 2 je clique sur suivant sans renseigner les champs j'obtiens une erreur 
h1. [ErreurWS] Erreur Serveur sur webservice

!image-2026-03-12-15-57-59-583.png!

!image-2026-03-12-15-58-26-696.png!

 

 

[P. DR - FO|https://front-dr.integration.roc.fr.capgemini.com/_profiler/37e814?panel=logger]","V9.4.0"
"[MOE][ALERTE] pas possible de consulter une alerte pour REF/PIL","En cours de résolution et de qualification","DP ROC","ROC-3442","Majeur","Alertes","V9.5.0","Sprint V9.5","Titre : [MOE][ALERTE] pas possible de consulter une alerte pour REF/PIL

Configuration : V9.5  Integration

Identifiant : REF/PIL

 

URL : [https://front-dr.integration.roc.fr.capgemini.com/interne/alertes] 

Descriptif :

Lorsque je créée une alerte immédiat par AF et que je dois consulter l'alerte par un REF/PIL, impossible de trouver l'alerte immédiat dans la section recherche de mes alertes

 

+la recherche:+

titre : TEST AF

ville : Nantes

date de lancement: 30/03/2026

 

Résultat attendu :

ouvrir le document de l'alerte immédiat

Résultat obtenu :

""Aucune alerte trouvée""

 

!image-2026-03-12-15-22-27-974.png!

 

Recherche avec REF/PIL

 

!image-2026-03-12-15-19-45-236.png!","V9.5.0"
"[MOE][Paramètrage] erreur sur le paramètrage de mail ","En cours de résolution et de qualification","DP ROC","ROC-3440","Majeur","Paramétrage","V9.5.0","Sprint V9.5","Titre :[MOE][Paramètrage] erreur sur le paramètrage de mail 

Configuration : V9.5 Integration

Identifiant : AF

 

URL :   [https://www.reservistes.defense.gouv.fr/candidat/creation-compte]

Descriptif :

Lorsque je suis avec l'AF et je suis dans les paramètrage fonctionnel, je modifie un mail (notification), je clique sur valider

Résultat attendu :

la modification est validé

Résultat obtenu :

erreur sur la page

 

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/1a043a]

 

!image-2026-03-12-11-33-35-157.png!

 

 

 

!image-2026-03-12-11-32-19-914.png!","V9.5.0"
"[MOE][ACTIVITE] Erreur 500 sur les activité à clôturer","En cours de résolution et de qualification","DP ROC","ROC-3431","Majeur","Activités","V9.5.0","Sprint V9.5","Titre : [MOE][ACTIVITE] Erreur 500 sur les activité à clôturer

Configuration : V9.5 Intégration

Identifiant : REF 119_utilisateur

 

URL :   [https://front-dr.integration.roc.fr.capgemini.com/_profiler/e6cd96?panel=request]

 

Descriptif :

Dans le tableau des activité et dans l'onglet à clôturer, prendre une activité et mettre un mail valideur en cliquant sur valider, ensuite le mail avec le lien et clique sur le lien, mettre un mail valideur et cliquer sur Valider  reprise

 

Résultat attendu :

recevoir un autre mail de confirmation

Résultat obtenu :

erreur 500

 

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/e6cd96]

 

!image-2026-03-11-15-31-23-485.png!

 

 

 

!image-2026-03-11-15-31-05-352.png!

 

 ","V9.5.0"
"[MOE][Connexion]Impossible de se connecter en tant que RO1","En cours de résolution et de qualification","DP ROC","ROC-3424","Bloquant","","V9.4.1","Sprint V9.5","ROC v9.4.0 open api 8.0.8 . sur /v8/api/utilisateurs on a 413 envoyé par PAPI

FRONT NP (se connecter en tant que RO1) -> PAPI NP -> BACK DR -> PAPI NP (413) payload too large

 

voici le curl qu'on a joué

 
{code:java}
curl \\
  --compressed \\
  --request GET \\
  --url 'https://zspapi21-2np-lbext.picsel.defense.gouv.fr/in/ressources-humaines/roc-synchro-release/v8/api/utilisateurs?type=ro1&email=8462_reserviste.roc@getnada.com' \\
  --header 'MinArm-PEM-Authorization: Bearer eyJ4NXQiOiJNemxsWVRBell6QTVOamRrWkRsa04yRmhaalExTTJSaVpXWmlORFF3WXpkak1HRXhOVE16TkEiLCJraWQiOiJOekl5WTJZek0yUXdZV1ZtTVdFME5ESmxOR0l6TTJSak16WXdaRGsxWldJMU5HSmpNR1E1TmpSbE5ESTBaR1UwT0RJM1lXVTJNbVUyTmpkak5qZ3lNd19SUzI1NiIsInR5cCI6ImF0K2p3dCIsImFsZyI6IlJTMjU2In0.eyJzdWIiOiJkLm5vaXNldHRlIiwiYXV0IjoiQVBQTElDQVRJT04iLCJiaW5kaW5nX3R5cGUiOiJyZXF1ZXN0IiwiaXNzIjoiaHR0cHM6XC9cL05QTEJHVFdTVkMyNzBWLnBpY3NlbC5kZWZlbnNlLmdvdXYuZnI6NDQzXC9vYXV0aDJcL3Rva2VuIiwiYXVkIjoiaHlLN1lCM1RRamQzY1VLOElCVmNGeUkzVHJBYSIsIm5iZiI6MTc3MzIyMDMyMiwiYXpwIjoiaHlLN1lCM1RRamQzY1VLOElCVmNGeUkzVHJBYSIsInNjb3BlIjoiZGVmYXVsdCIsInJlYWxtIjp7InNpZ25pbmdfdGVuYW50IjoiY2FyYm9uLnN1cGVyIn0sImV4cCI6MTc3MzIyMzkyMiwiaWF0IjoxNzczMjIwMzIyLCJiaW5kaW5nX3JlZiI6IjdkNjY2ZmQ1MTQ3NzY2NWFkZGU1NWQ5NDExOTk5M2U4IiwianRpIjoiMmE3M2I3YWYtZDU3MS00ZDYyLTk2ZDItMTA5OWY0OTgwNjMyIn0.apigG5G8KxWsDDGFLNdBzwvnfxnRCbZsWALAcy-VNpasgMkBxghssloon8VBcg6esFnkEaBLZC7dCNk4xyU4pOpkFYNyKEP2WQx1ZEFIoaXwfDU5huthVSOZp3uG6ylhpAHXSUI3lSR_YpVl8tTehD1BPnB5TAZjXEkIgbz2x53a-ztvaJEps83ZZaTlcrOA0eCDyF0RXffns2Vc2ESvBPJE9Om3_O0iG16gxnRJUAvzMXJGWcYmDdh-dHIopiFOdbECQKONDX6dKkU2pCHdxiypIo4dK62wXB58TJ-Rxrza-OutYpjCr08iBcArhM14Oezu5_yEX8asBe_BoJl1aB46Lqf_yxMo8XBHZ2uc28cdtrdqjIb9_LY7kZDGG8BLrFkEZk7cVS7WM9z3kJw_2-w_p-GUpP6u4gFYO2AXvuxkLVa0gqqBNO31USK-yYu0HPnPqntIVvg4ETLegyvukM5Fm_He4zn-K-H4-sB32rLzm5Oo-le-v0ZJLnUCLat7' \\
  --header 'MinArm-Application-Consumer: ReleaseApplication' \\
  --header 'Accept: application/json' \\
  --header 'ROC-Env: helissng' \\
  --header 'X-ROC-Referer: NP' \\
  --header 'Content-Type: application/json' \\
  --header 'User-Agent: Symfony HttpClient (Curl)' \\
  --header 'Accept-Encoding: gzip'
 
{code}
 

*Investigation de l'équipe PAPI :*

Content-Length: 1269632 > 500 ko   (1.269.632 b, donc 1.2M)

canal data = 500ko, canal fichier 8Mo

les données sont retournées en ""pretty print"", prend plus de place

 

P.I : sur ROC v9.3.1 on n'a pas de soucis

nous avons également besoin de logs sur frontnp lorsqu'on a ce genre d'erreur de PAPI","V9.4.0"
"[MOE][ACTIVITE] anomalie sur l'affichage des onglets de l'activité","En attente de prise en compte dans l'usine logicielle","DP ROC","ROC-3423","Mineur","Activités","","","Titre : [MOE][ACTIVITE] anomalie sur l'affichage des onglets de l'activité

Configuration : V9.5

Identifiant : REF 3481_utilisateur

URL :   [https://front-dr.integration.roc.fr.capgemini.com/interne/activites/creer/brouillon]

 

Descriptif :

Sur le tableau d'activité, les onglets sont en dessous du tableau

Résultat attendu :

les onglets sont au dessus du tableau

Résultat obtenu :

les onglets sont en dessous du tableau

 

!image-2026-03-11-11-20-54-197.png!

 

 

 

!image-2026-03-11-11-20-15-643.png!","V9.5.0"
"[MOE][Données personnelles] une erreur est survenue au clique sur les données personnelles du volontaire","En cours de résolution et de qualification","DP ROC","ROC-3422","Majeur","Volontariat","V9.5.0","Sprint V9.5","Titre : [MOE][Données personnelles] une erreur est survenue au clique sur les données personnelles du volontaire

Configuration : V9.5

Identifiant : volontaire-240839_candidat.roc@getnada.com

URL :   [https://front-np.integration.roc.fr.capgemini.com/candidat/accueil-choix-bloc]

 

Descriptif :

Sur le compte du volontaire avec 2 blocs : ""Données personnelles"" et ""Engagement"", au clique sur les données personnelles

Résultat attendu :

Accès aux données personnelles

Résultat obtenu :

une erreur est survenue

 

 

!image-2026-03-11-10-38-58-396.png!","V9.5.0"
"[MOE][Contrat] Retour termes _Date début ESR erronée_Réserviste","En cours de résolution et de qualification","DP ROC","ROC-3420","Majeur","Contrat","","Sprint V9.5","Env INTEGRATION / réserviste : [208924_reserviste.roc@getnada.com|mailto:208924_reserviste.roc@getnada.com]

En tant que réserviste, je suis à l'étape Retour termes

!image-2026-03-10-15-53-11-663.png!

Avant d'accepter le terme je regarde les données de l'Hypothèse de reconduction.

Or pour un contrat qui se termine le 07/02/2026, la date de début de l'ESR est 08/02 de 2024 (au lieu de 2026)

!image-2026-03-10-15-54-05-850.png!","V9.4.0"
"[MOE][Gestion] pas d'affichage pour FPM pour REF/PIL","En attente de prise en compte dans l'usine logicielle","DP ROC","ROC-3419","Mineur","","","","Titre : [MOE][Gestion] pas d'affichage pour FPM pour REF/PIL

Configuration : V9.4 Integration

Identifiant :  REF/PIL  3481_utilisateur

baptiste.poiron@wavestone.com

URL :   [https://front-dr.integration.roc.fr.capgemini.com/interne/gestion-formations-premilitaires]

 

Descriptif :

Suite à la création d'une FPM, dans le tableau pas de visibilité sur la FPM créé

Résultat attendu :

Affichage de la FPM

Résultat obtenu :

Pas de visibilité

 

 

!image-2026-03-10-15-52-18-107.png!","V9.5.0"
"[MOE][Calendrier] impossible de créer une activité avec les réservistes disponible","En cours de résolution et de qualification","DP ROC","ROC-3418","Majeur","Calendrier","","Sprint V9.5","Titre : [MOE][Calendrier] impossible de créer une activité avec les réservistes disponible

Configuration : V9.4 Integration

Identifiant :

baptiste.poiron@wavestone.com

URL :  [https://front-dr.integration.roc.fr.capgemini.com/interne/calendrier/disponibilites-periode?pfIds=&unitesIds=]

 

Descriptif :

Dans le calendrier, clique sur la disponibilité par période, lorsque je mets des date de début et de fin avec des réserviste disponible, impossible de cliquer sur le bouton ""Créer une activité avec les réservistes disponibles"".

Résultat attendu :

création de l'activité avec les réservistes disponible

Résultat obtenu :

impossible de faire la création de l'activité avec les réservistes disponible

 

 

 

!image-2026-03-10-12-15-44-698.png!","V9.5.0"
"[MOE][Activité-Signer]erreur 403 sur la demande signature","En attente de prise en compte dans l'usine logicielle","DP ROC","ROC-3416","Majeur","Activités","","","Titre : [MOE][Activité-Signer]erreur 403 sur la demande signature

 

Configuration : V9.4

Identifiant : AF, REF, PIL

URL :   [https://front-dr.integration.roc.fr.capgemini.com/interne/activites/enaro/signature/en-attente]

 

Descriptif :

Lorsque je suis dans le tableau activité , onglet à signer je clique sur une demande signature avec le choix de l'ATS et le clique sur le bouton valider, ensuite je reçois un mail , je clique sur le lien

Résultat attendu :

Redirection sur la signature de l'ATS

Résultat obtenu :

une erreur 403

 

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/922d12]

 

 

 

!image-2026-03-10-11-40-51-053.png!","V9.5.0"
"[MOE][Gestion-Espace Qualité] Export des candidatures en cours KO","En cours de résolution et de qualification","DP ROC","ROC-3414","Bloquant","Extraction","","Sprint V9.5","En tant qu'AF si je vais sur le bloc ""Espace Qualité"" et que je clique sur Export des candidatures en cours bouton ""Téléchargement.csv"" , j'ai une erreur :

!image-2026-03-10-11-15-23-915.png!","V9.4.0"
"[MOE][Gestion-Espace Qualité] Export des candidatures KO","En cours de résolution et de qualification","DP ROC","ROC-3413","Bloquant","Extraction","","Sprint V9.5","En tant qu'AF si je vais sur le bloc ""Espace qualité"" et que je clique sur Export des candidatures, j'ai une erreur : [front-dr.integration.roc.fr.capgemini.com|https://front-dr.integration.roc.fr.capgemini.com/interne/admin/extractions-massives/candidatures] https://front-dr.integration.roc.fr.capgemini.com/interne/admin/extractions-massives/candidatures

!image-2026-03-10-11-09-50-617.png!","V9.4.0"
